Pavarde	Vardas	ND1	ND2	ND3	ND4	ND5	Egzaminas
Pavarde1	Vardas1	9	7		7	10	1
Pavarde2	Vardas2	2	10	1	5	1	3
Pavarde3	Vardas3	5	5	1	1	7	8
Pavarde4	Vardas4	3	5	10	5	6	5
Pavarde5	Vardas5	7	0	7	0	7	10
Pavarde6	Vardas6	0	2	8	10	2	1
Pavarde7	Vardas7	5	9	7	6	4	1
Pavarde8	Vardas8	9	9	0	10	1	7
Pavarde9	Vardas9	2	3	2	4	5	9
Pavarde10	Vardas10	4	0	9	8	0	0
Pavarde11	Vardas11	8	3	6	4	8	1
Pavarde12	Vardas12	0	2	6	10	0	4
Pavarde13	Vardas13	2	5	3	8	7	10
Pavarde14	Vardas14	4	1	8	4	10	0
Pavarde15	Vardas15	9	5	6	8	8	10
Pavarde16	Vardas16	2	9	6	7	7	2
Pavarde17	Vardas17	9	0	7	4	5	1
Pavarde18	Vardas18	6	6	2	6	9	4
Pavarde19	Vardas19	6	3	6	6	7	4
Pavarde20	Vardas20	2	0	3	3	10	1
Pavarde21	Vardas21	7	4	6	7	10	9
Pavarde22	Vardas22	10	4	3	6	0	7
Pavarde23	Vardas23	3	7	7	2	8	7
Pavarde24	Vardas24	1	6	3	4	4	4
Pavarde25	Vardas25	4	7	7	10	9	10
Pavarde26	Vardas26	0	3	3	9	10	5
Pavarde27	Vardas27	8	1	8	2	8	5
Pavarde28	Vardas28	7	0	1	1	1	9
Pavarde29	Vardas29	8	9	8	1	7	4
Pavarde30	Vardas30	7	4	7	6	3	1
Pavarde31	Vardas31	6	0	8	0	6	9
Pavarde32	Vardas32	9	7	0	9	9	7
Pavarde33	Vardas33	3	8	9	2	9	6
Pavarde34	Vardas34	0	3	3	5	5	3
Pavarde35	Vardas35	0	4	2	3	8	4
Pavarde36	Vardas36	9	3	1	1	0	9
Pavarde37	Vardas37	0	1	3	6	9	4
Pavarde38	Vardas38	6	4	1	10	10	5
Pavarde39	Vardas39	2	8	5	3	1	4
Pavarde40	Vardas40	4	6	8	4	0	2
Pavarde41	Vardas41	1	3	4	6	1	10
Pavarde42	Vardas42	8	0	3	4	1	3
Pavarde43	Vardas43	8	2	1	10	9	10
Pavarde44	Vardas44	6	8	7	7	1	10
Pavarde45	Vardas45	9	1	1	5	9	7
Pavarde46	Vardas46	0	6	5	6	1	1
Pavarde47	Vardas47	2	9	1	7	4	0
Pavarde48	Vardas48	3	5	5	4	10	4
Pavarde49	Vardas49	8	3	4	0	8	9
Pavarde50	Vardas50	0	7	0	2	0	8
Pavarde51	Vardas51	4	10	8	7	1	3
Pavarde52	Vardas52	1	1	6	6	3	2
Pavarde53	Vardas53	7	8	9	6	3	4
Pavarde54	Vardas54	3	9	10	8	2	9
Pavarde55	Vardas55	6	3	9	0	9	2
Pavarde56	Vardas56	0	8	3	6	1	5
Pavarde57	Vardas57	7	7	9	4	6	5
Pavarde58	Vardas58	4	4	1	0	2	8
Pavarde59	Vardas59	5	4	10	5	3	10
Pavarde60	Vardas60	9	2	4	5	10	8
Pavarde61	Vardas61	7	7	5	4	2	1
Pavarde62	Vardas62	7	8	10	9	5	6
Pavarde63	Vardas63	0	1	0	10	6	2
Pavarde64	Vardas64	5	9	1	6	4	0
Pavarde65	Vardas65	8	5	2	1	0	5
Pavarde66	Vardas66	3	9	3	0	9	5
Pavarde67	Vardas67	6	10	6	9	0	9
Pavarde68	Vardas68	6	0	8	7	5	2
Pavarde69	Vardas69	7	1	1	6	3	0
Pavarde70	Vardas70	7	3	9	9	4	3
Pavarde71	Vardas71	2	6	4	6	8	6
Pavarde72	Vardas72	3	5	8	7	7	0
Pavarde73	Vardas73	7	10	8	7	7	0
Pavarde74	Vardas74	5	4	10	7	6	1
Pavarde75	Vardas75	7	0	1	1	0	8
Pavarde76	Vardas76	5	1	8	6	2	4
Pavarde77	Vardas77	5	10	4	6	0	3
Pavarde78	Vardas78	4	0	7	9	8	2
Pavarde79	Vardas79	1	10	5	10	7	7
Pavarde80	Vardas80	4	8	10	5	0	10
Pavarde81	Vardas81	7	6	6	7	9	0
Pavarde82	Vardas82	6	9	3	5	9	6
Pavarde83	Vardas83	4	6	6	6	4	7
Pavarde84	Vardas84	2	2	7	3	5	9
Pavarde85	Vardas85	2	3	3	10	5	9
Pavarde86	Vardas86	2	0	1	9	1	7
Pavarde87	Vardas87	1	5	9	10	5	3
Pavarde88	Vardas88	5	1	8	4	10	7
Pavarde89	Vardas89	2	5	0	8	5	0
Pavarde90	Vardas90	0	10	6	10	1	3
Pavarde91	Vardas91	6	7	0	0	0	10
